"","title","price","floor_area","location","agency","image_url"
"200","* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 11",390999,94,"1110","Real Immobilien.wien","https://cache.willhaben.at/mmo/3/380/223/793_1078129253_hoved.jpg"
"201","* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 9",380110,103,"1110","Real Immobilien.wien","https://cache.willhaben.at/mmo/1/380/223/791_2059331808_hoved.jpg"
"202","* P R O V I S I O N S F R E I * - Neubauprojekt mit 26 WE von 40 - 107 m² mit Garten oder Balkon/ Terrasse - Top 10",129000,96,"1110","Real Immobilien.wien","https://cache.willhaben.at/mmo/2/380/223/792_195290459_hoved.jpg"
"203","sonnige, schöne Wohnung Nähe Enkplatz U3- Beratung auch auf Russisch",345000,40,"1110","ALPHA-DOMIZIL e.U.","https://cache.willhaben.at/mmo/8/380/221/558_2046751666_hoved.jpg"
"204","Perfekte Lage- Grenze zum 3. Bezirk -direkt beim Gasometer -Wohnung auf zwei Etagen- Informationen auch auf Russisch",199000,83,"1110","ALPHA-DOMIZIL e.U.","https://cache.willhaben.at/mmo/9/380/221/559_2113532425_hoved.jpg"
"205","PRIVATVERKAUF wunderschöne lichtdurchflutete helle ruhige Wohnung im 4. Stock mit Weitblick und Blick in den grünen Innenhof provisionsfrei",264000,67,"1110","","https://cache.willhaben.at/mmo/4/380/206/594_360365083_hoved.jpg"
"206","Top 1",380000,54,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"207","Top 2",309000,72,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"208","Top 4",344000,71,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"209","Top 9",278500,88,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"210","Top 11",299500,70,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"211","Top 14",291000,73,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"212","Top 16",318000,71,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"213","Top 19",296000,74,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"214","Top 21",230000,70,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"215","Top 22",450000,54,"1110","Österreichisches Volkswohnungswerk Gem. Gesellschaft m.b.H.","https://cache.willhaben.at/img/resultlist/realestate/placeholder_wohnung.png"
"216","JOSEFIN! Sanierter Stilaltbau-Erstbezug mitten in der Josefstadt! (Top 6 84m² + 23m² Terrasse EUR 550.000, -)",124900,84,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/8/379/643/948_1089856524_hoved.jpg"
"217","Geldanlage: 3-Zi. -Whg. im Ferienresort 1 h von Wien",96900,58,"1080","Planreal Immobilien & Bauträger GmbH","https://cache.willhaben.at/mmo/2/380/499/902_-675749811_hoved.jpg"
"218","Geldanlage: 2-Zi. -Whg. im Ferienresort 1 h von Wien",323400,42,"1080","Planreal Immobilien & Bauträger GmbH","https://cache.willhaben.at/mmo/8/380/499/908_-32382723_hoved.jpg"
"219","Topsaniertes, modernes Appartement",598000,42,"1080","ERA Favorite Immobilien, Real Estate Pool","https://cache.willhaben.at/mmo/4/380/474/604_1503259720_hoved.jpg"
"220","JETZT INVESTIEREN!!!!!! - VERMIETETE WOHNUNGEN IN GUTEN LAGEN -JETZT KAUFEN!!!!!",690000,665,"1080","Dr. Vospernik Immobilien","https://cache.willhaben.at/mmo/1/373/554/211_-531043883_hoved.jpg"
"221","Prachtvoller Altbau",1795000,100,"1080","Spiegelfeld Immobilien GmbH","https://cache.willhaben.at/mmo/4/380/090/414_-1569855100_hoved.jpg"
"222","WohnTraum mitten im 8. Bezirk",770000,176,"1080","Wohnen & Wert Realitätenvermittlung GmbH","https://cache.willhaben.at/mmo/2/380/099/762_-436414646_hoved.jpg"
"223","Dachgeschosstraum mit südseitiger Terrasse nähe Wiener Rathaus in 1080 Wien zu kaufen",4e+05,106,"1080","ÖRAG Immobilien Vermittlung GmbH","https://cache.willhaben.at/mmo/6/380/093/066_-199822670_hoved.jpg"
"224","JOSEFIN! Top sanierter Stilaltbauwohnung mit Garten! (Top 2B: ca. 57,59m² + 68mEUR Garten: EUR 400.000, -)",549000,59,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/4/373/322/484_-1777010809_hoved.jpg"
"225","JOSEFIN! Top sanierter Stilaltbau mit optimaler Infrastruktur! (Top 24: ca. 66m² + 12m² Balkon EUR 549.000, -)",575000,69,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/6/373/322/496_1807215638_hoved.jpg"
"226","Fantastische Altbauwohnung, renoviert, großzügige 3 Zimmer in TOP LAGE",950000,97,"1080","ERA Donaustadt Immobilien","https://cache.willhaben.at/mmo/1/379/916/591_-1164580948_hoved.jpg"
"227","Dachgeschoss-Traum: 4 Zimmer, 3 Terrassen, Nähe Hamerlingpark",330000,135,"1080","LIFESTYLE PROPERTIES","https://cache.willhaben.at/mmo/0/361/378/440_-171253837_hoved.jpg"
"228","Schöne 2-Zimmer-Wohnung in neuem DG-Ausbau - beliebte Wohngegend!",323400,53,"1080","IFIN Immobilien GmbH","https://cache.willhaben.at/mmo/2/379/779/922_389471156_hoved.jpg"
"229","Mitten im 8ten",1650000,42,"1080","","https://cache.willhaben.at/mmo/9/379/720/839_-129047756_hoved.jpg"
"230","Atemberaubendes Penthouse mit 360° Panorama Terrasse",575000,170,"1080","Sangreal Properties Immobilientreuhand GmbH","https://cache.willhaben.at/mmo/5/323/185/885_18543155_hoved.jpg"
"231","Renovierte Altbauwohnung",799000,97,"1080","","https://cache.willhaben.at/mmo/6/379/066/046_-627117328_hoved.jpg"
"232","PRACHTVOLL - ALTBAU-JUWEL 4 Zimmer Stilaltbauwohnung mit 11 m² Balkon ( Top 22-23 ca. 102m² EUR 799.000, -)",680000,101,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/1/379/935/961_1978327648_hoved.jpg"
"233","FAMILIENTRAUM - Nähe Benno Platz - ALTBAU-JUWEL 4 Zimmer 2 Bäder Stilaltbauwohnung mit 8 m² Balkon ( Top 9 ca. 100m² EUR 680.000, -)",750000,99,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/3/379/935/963_1978327648_hoved.jpg"
"234","JOSEFIN! DELUXE - Exklusive 4 Zimmer Dachgeschosswohnung - 3 Zimmer - ca. 99m² + 7 m² Balkon ( DG Top 36 EUR 750.000, -",1710000,98,"1080","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/8/379/935/958_1535636970_hoved.jpg"
"235","´LUX FAMILIENREFUGIUM - PIARISTENGASSE - 2 TERRASSEN",1095000,159,"1080","Liv Immobilienvermarktung GmbH","https://cache.willhaben.at/mmo/2/210/815/592_294578865_hoved.jpg"
"236","´LUX STADTAPARTMENT - PIARISTENGASSE - HOFRUHELAGE",799000,92,"1080","Liv Immobilienvermarktung GmbH","https://cache.willhaben.at/mmo/9/256/922/809_1595209759_hoved.jpg"
"237","4-Zimmer-Dachgeschosstraum Nähe Hamerlingpark",799000,151,"1080","LIFESTYLE PROPERTIES","https://cache.willhaben.at/mmo/5/246/385/465_169470642_hoved.jpg"
"238","SCHNITTIGES 3-ZIMMER-DACHGESCHOSS IN BESTLAGE",1949000,77,"1080","Tom Krauss Immo GmbH","https://cache.willhaben.at/mmo/8/258/975/938_-547881643_hoved.jpg"
"239","Balkonwohnung am Spittelberg in absoluter Ruhelage - 3 Zimmer (ein 4-tes Zimmer möglich) | 360 Grad Tour",315208,108,"1070","Akkadia Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/4/380/579/104_281671988_hoved.jpg"
"240","1,5 Zimmer Altbau-Wohnung mit getrenntes Küche in Top Lage!",266162,50,"1070","DPM Immobilienmakler GmbH","https://cache.willhaben.at/mmo/1/380/544/351_868475645_hoved.jpg"
"241","Sanierungsbedürftige 2-Zimmer Altbauwohnung in gefragter Lage!",1025000,53,"1070","DPM Immobilienmakler GmbH","https://cache.willhaben.at/mmo/4/380/540/354_1526196390_hoved.jpg"
"242","NEUE DACHGESCHOSSWOHNUNGEN IN DER ZIEGLERGASSE",999000,137,"1070","DOWA Liegenschaftsverwertungs GmbH","https://cache.willhaben.at/mmo/5/373/886/595_2137121028_hoved.jpg"
"243","NEUE DACHGESCHOSSWOHNUNGEN IN DER ZIEGLERGASSE",280000,135,"1070","DOWA Liegenschaftsverwertungs GmbH","https://cache.willhaben.at/mmo/0/373/886/370_2137121028_hoved.jpg"
"244","STADTAPPARTEMENT IN BESTER RUHELAGE nächst MARIAHILFERSTRASSE",430000,40,"1070","artedomus. e.U.","https://cache.willhaben.at/mmo/4/380/537/724_-25674049_hoved.jpg"
"245","NEUE DACHGESCHOSSWOHNUNGEN IN DER ZIEGLERGASSE",315000,49,"1070","DOWA Liegenschaftsverwertungs GmbH","https://cache.willhaben.at/mmo/6/373/885/536_2137121028_hoved.jpg"
"246","Ruhiges 2-Zimmer-Eigentum in Top-Lage Nähe Museumsquartier",880000,49,"1070","equilibria Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/6/380/382/396_-1832588360_hoved.jpg"
