"","title","price","floor_area","location","agency","image_url"
"277","NEUER PREIS! Geräumige 2-Zimmer-Wohnung mit südseitiger Loggia und Einzelgarage in Ober St. Veit/71",229000,55,"1130","Fischerimmo","https://cache.willhaben.at/mmo/8/380/394/878_2099898223_hoved.jpg"
"278","2 Zi Neubau Balkon-Wohnung inkl. Garagenplatz / befristet vermietet",540000,46,"1130","CONCREET. GmbH","https://cache.willhaben.at/mmo/1/380/376/891_-1725565410_hoved.jpg"
"279","Charmantes 3-Zimmer-Eigentum mit Dachterrasse in Hietzing",445000,100,"1130","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/7/380/363/737_-1877607993_hoved.jpg"
"280","13., Cottage Lage, 3 Zimmer + Atrium Terrasse",219000.5,73,"1130","s REAL - Wien","https://cache.willhaben.at/mmo/8/306/117/608_1407052823_hoved.jpg"
"281","360° Besichtigung-NEUBAUPROJEKT in Fertigstellung - 12 kompakte Eigentumswohnungen mit Garten/ Balkon/ Terrasse",274000.5,38,"1130","Real Immobilien.wien","https://cache.willhaben.at/mmo/7/380/350/187_128707300_hoved.jpg"
"282","360° Besichtigung-NEUBAUPROJEKT in Fertigstellung - 12 kompakte Eigentumswohnungen mit Garten/ Balkon/ Terrasse",169000.5,48,"1130","Real Immobilien.wien","https://cache.willhaben.at/mmo/3/380/350/183_1726542592_hoved.jpg"
"283","360° Besichtigung-NEUBAUPROJEKT in Fertigstellung - 12 kompakte Eigentumswohnungen mit Garten/ Balkon/ Terrasse",219000.5,30,"1130","Real Immobilien.wien","https://cache.willhaben.at/mmo/4/380/350/174_1865018382_hoved.jpg"
"284","360° Besichtigung-NEUBAUPROJEKT in Fertigstellung - 12 kompakte Eigentumswohnungen mit Garten/ Balkon/ Terrasse",245000.5,38,"1130","Real Immobilien.wien","https://cache.willhaben.at/mmo/9/380/350/179_1726542592_hoved.jpg"
"285","360° Besichtigung-NEUBAUPROJEKT in Fertigstellung - 12 kompakte Eigentumswohnungen mit Garten/ Balkon/ Terrasse",339000,45,"1130","Real Immobilien.wien","https://cache.willhaben.at/mmo/4/380/350/184_1939533307_hoved.jpg"
"286","Traumhafte 4 Zimmerwohnung mit Loggia!!",288000,85,"1130","Opes Immobilien","https://cache.willhaben.at/mmo/6/361/772/936_1673851273_hoved.jpg"
"287","Smartes Wohnen in urbaner Lage",269000,53,"1120","IVV Verkauf und Vermietungs GmbH","https://cache.willhaben.at/mmo/0/337/319/020_-460528092_hoved.jpg"
"288","*** ERSTBEZUG 2 Zimmer WFL. 57m² SCHLOSS HETZENDORF ***",415000,57,"1120","gb-direkt Finanzberatung & Immobilienhandel GmbH","https://cache.willhaben.at/mmo/2/380/598/332_-122095005_hoved.jpg"
"289","Helle 3 Zimmer Wohnung bei U-Bahn Station Längenfeldgasse",679000,102,"1120","Immoperts Immobilien GmbH","https://cache.willhaben.at/mmo/5/380/576/965_-1575359617_hoved.jpg"
"290","Herrliche Dachgeschoss-Maisonette bei Schönbrunn",256000,135,"1120","Haider Realitäten GmbH","https://cache.willhaben.at/mmo/3/380/546/903_-1902191355_hoved.jpg"
"291","2 Zimmer Wohnung im EG in ruhiger Lage Nähe Meidlinger Bahnhof",163000,69,"1120","EMH Höller Immobilien OG","https://cache.willhaben.at/mmo/0/338/815/900_-869148618_hoved.jpg"
"292","Einzigartiges Anleger Wohnatelier in unserem Neubauprojekt ""Kunsthaus Meidling""",448000,37,"1120","Rustler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/7/380/530/517_-266671433_hoved.jpg"
"293","Tolle DG-Wohnung mit ruhiger Terrasse - herrlicher Gemeinschaftsgarten",223270,113,"1120","Engelreal - Mag. Hannes Engel","https://cache.willhaben.at/mmo/1/380/524/271_-1867976232_hoved.jpg"
"294","Naturfreunde im Wildgarten im Ziegelmassivbau",635000,50,"1120","EHL Immobilien GmbH","https://cache.willhaben.at/mmo/9/309/573/699_649911132_hoved.jpg"
"295","Nymphäum: unverbaubarer Grünblick im Loftstil - PROVISIONSFREI",246999,106,"1120","Ulreich Bauträger GmbH","https://cache.willhaben.at/mmo/7/380/501/207_2110645081_hoved.jpg"
"296","+ NEU-ERFRISCHEND SCHÖN-ERSTBEZUG-53M2-2ZIMMERWOHNUNG NÄHE U6 UND MEIDLINGER MARKT, 1120 WIEN",385000,53,"1120","Dr. Vospernik Immobilien","https://cache.willhaben.at/mmo/0/376/441/920_-2029659927_hoved.jpg"
"297","ruhige zentral gelegene 3-Zimmer ETW mit begrüntem Innenhofblick",549000,83,"1120","ERA Favorite Immobilien, Real Estate Pool","https://cache.willhaben.at/mmo/6/380/474/616_-1703157169_hoved.jpg"
"298","All you need is a LOFT mit zusätzlichen 30 m² Dachterrasse",369000,130,"1120","Landaa Immobilienvermittlung GmbH","https://cache.willhaben.at/mmo/3/380/447/133_2099506728_hoved.jpg"
"299","Anton-Krutisch-Park | Balkon | U-Bahn",429000,95,"1120","Real 3 Immobilienservice & Consulting OG","https://cache.willhaben.at/mmo/2/380/389/682_531754835_hoved.jpg"
"300","Moderner Familientraum mit Terrasse, Eigengarten und Garage!",339000,86,"1120","IMMOSKY Skylead Real GmbH - Wien","https://cache.willhaben.at/mmo/8/380/568/758_1251209967_hoved.jpg"
"301","- UNI-Real - 4 ZI - DG - Stadtwohnung mit Terrasse",225000,85,"1120","UNI - Real Estate GmbH","https://cache.willhaben.at/mmo/3/380/368/933_-1081167556_hoved.jpg"
"302","Sanierungsbedürftige Altbauwohnung",237837,65,"1120","Schwarzenberg Immobilien KG","https://cache.willhaben.at/mmo/5/321/863/835_-406787577_hoved.jpg"
"303","MEIDLINGER HAUPTSTRASSE! BALKON! ANLAGE! ERSTBEZUG! TOLLER GRUNDRISS!  U6! S-BAHN! SCHLOSS SCHÖNBRUNN!",320000,54,"1120","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/4/380/303/124_16506919_hoved.jpg"
"304","PRACHTVOLLE UND SONNIGE GARTENWOHNUNG",2e+05,63,"1120","Rabas & Partner Immobilien e.U.","https://cache.willhaben.at/mmo/2/380/223/652_1232921899_hoved.jpg"
"305","Zentrale Lage - Nähe U4 Margaretengürtel und der U6 Längenfeldgasse - Beratung auch auf Russisch",320000,62,"1120","ALPHA-DOMIZIL e.U.","https://cache.willhaben.at/mmo/7/380/221/557_968422297_hoved.jpg"
"306","Eigentumswohnung in der Nähe vom Schloss Schönbrunn",679000,90,"1120","","https://cache.willhaben.at/mmo/6/380/208/456_505795178_hoved.jpg"
"307","Schönbrunn - Außergewöhnliche Wohnung an einem besonderen Platz!",2e+05,135,"1120","Golden Home Real LTD & CoKG","https://cache.willhaben.at/mmo/9/380/196/019_-1159143573_hoved.jpg"
"308","Sonnendurchflutete Wohnung in zentraler Lage!",106000,65,"1120","Agoreal Immobilien GmbH","https://cache.willhaben.at/mmo/0/400/927/10_1453645061_hoved.jpg"
"309","1 Zimmer Wohnung mit blick ins Grüner, in ruhiger Lage zu verkaufen!",297000,26,"1120","Moritz Immobilientreuhand GmbH","https://cache.willhaben.at/mmo/4/373/469/934_-1566186037_hoved.jpg"
"310","++ ERSTBEZUG in MEIDLING ++ 3-Zimmer Neubauwohnung mit voll-ausgestatteter Küche und perfektem Grundriss nahe dem Haydn-Park **",235000,74,"1120","RIWOG Real Estate Management GmbH","https://cache.willhaben.at/mmo/9/380/135/659_1711732312_hoved.jpg"
"311","++ NEU++ 3-Zimmer ALTBAUERSTBEZUG in aufstrebender Lage! sehr gutes Preis-Leistungsverhältnis!",799000,77,"1150","Adonia Immobilien GmbH","https://cache.willhaben.at/mmo/2/380/591/452_2005460697_hoved.jpg"
"312","++ AUßERGEWÖHNLICH++ SENSATIONELLER WEITBLICK, TOLLE AUSSTATTUNG und FREIFLÄCHE",189000,130,"1150","Adonia Immobilien GmbH","https://cache.willhaben.at/mmo/5/380/565/535_-1346177138_hoved.jpg"
"313","SUPER RUHIGE 2 ZIMMER WOHNUNG",269000,39,"1150","Wohncloud Immobilien GmbH","https://cache.willhaben.at/mmo/5/361/945/115_2121592885_hoved.jpg"
"314","Moderne Eigentumswohnung in Gründerzeithaus - Provisionsfrei",177000,57,"1150","I.P.V. Immobilien Projekte","https://cache.willhaben.at/mmo/5/267/342/375_1304226763_hoved.jpg"
"315","Top-Infrastruktur: Helle Wohnung mit Potential",398000,57,"1150","Engel & Völkers Wien, EuV Immobilien GmbH","https://cache.willhaben.at/mmo/5/380/539/355_519559234_hoved.jpg"
"316","NÄHE U4 UND U6 LÄNGENFELDGASSE - GLEICH BEIM SPARKASSENPLATZ - GROSSE LOGGIA - TIEFGARAGENPLATZ ZUÄTZLICH VERFÜGBAR - FREI VERMIETBAR",379050,135,"1150","RE/MAX First","https://cache.willhaben.at/mmo/8/373/881/138_1166078093_hoved.jpg"
"317","Wunderschöne, loftartige 3- Zimmer Altbauwohnung im trendigen Nibelungenviertel - Erstbezug",269050,82,"1150","Akkadia Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/0/380/499/440_478802907_hoved.jpg"
"318","Helle und ruhige 2-Zimmer Altbauwohnung im trendigen Nibelungenviertel - Erstbezug",668000,57,"1150","Akkadia Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/4/380/499/444_-930881698_hoved.jpg"
"319","DG-Wohnung PROVISIONSFREIER ERSTBEZUG nähe Mariahilfer Straße!",588000,85,"1150","Residence Wohnbau GmbH","https://cache.willhaben.at/mmo/7/352/642/227_-901059249_hoved.jpg"
"320","Bright side of life | Eckwohnung mit Terrassen | ERSTBEZUG",269825,119,"1150","RE/MAX Together","https://cache.willhaben.at/mmo/6/380/442/726_-1807485649_hoved.jpg"
"321","Investieren in der Felberstraße",348115,54,"1150","JP Immobilien","https://cache.willhaben.at/mmo/8/322/571/978_-648946797_hoved.jpg"
"322","Investieren in der Felberstraße",142000,69,"1150","JP Immobilien","https://cache.willhaben.at/mmo/9/322/571/979_-909118713_hoved.jpg"
"323","Tolle 36,5m2 Eigentumswohnung in hervorragender Lage!",218000,36,"1150","Manseder Immobilien","https://cache.willhaben.at/mmo/7/380/389/947_795931584_hoved.jpg"
"324","NETTE STARTER 2-ZIMMER-WOHNUNG AM HENRIETTENPLATZ **",323731,44,"1150","DECUS Immobilien GmbH","https://cache.willhaben.at/mmo/8/380/332/278_-148312924_hoved.jpg"
"325","Investieren in der Felberstraße",238380,65,"1150","JP Immobilien","https://cache.willhaben.at/mmo/2/295/810/962_-1905782168_hoved.jpg"
"326","Investieren in der Felberstraße",298815,47,"1150","JP Immobilien","https://cache.willhaben.at/mmo/4/295/810/964_-571544702_hoved.jpg"
"327","Wohnen in der Felberstraße",384395,54,"1150","JP Immobilien","https://cache.willhaben.at/mmo/2/256/376/462_-648946797_hoved.jpg"
"328","Wohnen in der Felberstraße",269000,72,"1150","JP Immobilien","https://cache.willhaben.at/mmo/6/256/376/466_-909118713_hoved.jpg"
"329","Sanierungsbedürftige Terrassenwohnung in gepflegtem Altbauhaus! Hofruhelage!",149000,81,"1150","WB Immoagentur OG","https://cache.willhaben.at/mmo/2/373/600/992_376104348_hoved.jpg"
"330","**Schnäppchen 70er Jahre Wohnung mit perfekter Aufteilung und sehr viel Potential**",319999,40,"1150","Immo-Company Haas & Urban Immobilien GmbH","https://cache.willhaben.at/mmo/0/367/714/820_181510283_hoved.jpg"
"331","gute Investition- Nähe U4 Schönbrunn und U6 Meidlinger Hauptstraße- Beratung auch auf Russsisch",278000,94,"1150","ALPHA-DOMIZIL e.U.","https://cache.willhaben.at/mmo/2/380/221/562_1636427279_hoved.jpg"
"332","""STADTQUARTIER WEST - Kleine und neu renovierte 2 Zimmer Altbauwohnung mit offenen Wohn- Essbereich""",139000,47,"1150","MIA Real Estate","https://cache.willhaben.at/mmo/4/380/207/464_-1447171861_hoved.jpg"
"333","Hofseitiger, sonniger und ruhig gelegener Stilaltbauhit nähe U3-Station Johnstraße",140000,30,"1150","Immofair Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/5/373/496/545_2107435579_hoved.jpg"
"334","SANIERTE ALTBAUWOHNUNG BESTLAGE VIKTORIAGASSE",239107,41,"1150","Wohnsalon Immobilien GmbH","https://cache.willhaben.at/mmo/0/380/102/050_-450960515_hoved.jpg"
"335","Willkommen daheim: 2 Zimmer mit schönem Südbalkon",495000,66,"1140","PROJECT PI Immobilien Wien AG","https://cache.willhaben.at/mmo/8/304/453/778_-876999811_hoved.jpg"
"336","Terrassentraum in Penzing - 3-Zimmer + Galerie, ausgezeichnete Anbindung | 360 Grad Rundgang",310000,129,"1140","Akkadia Immobilienvermittlungs GmbH","https://cache.willhaben.at/mmo/2/380/579/092_-1663507768_hoved.jpg"
"337","Hell, freundlich und sehr gut gelegen, privat-97m² Wohnfläche !!!! KEINE MAKLER-ANRUFE ERWÜNSCHT!!!!!",598000,97,"1140","","https://cache.willhaben.at/mmo/1/376/881/071_1419304205_hoved.jpg"
"338","provisionsfrei - Doppelhaus - angenehme Grünruhelage am Bierhäuselberg - 1140 Wien",598000,118,"1140","Mroom Immobilien GmbH","https://cache.willhaben.at/mmo/0/367/953/800_-522195523_hoved.jpg"
"339","individuell gestaltbare, familienfreundliche Doppelhäuser am Bierhäuselberg - 1140 Wien",280000,118,"1140","Mroom Immobilien GmbH","https://cache.willhaben.at/mmo/4/333/250/894_-1889144324_hoved.jpg"
"340","Gut aufgeteiltes 3-Zimmer-Eigentum nahe U4 Braunschweiggasse",640000,72,"1140","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/8/373/888/158_1330315710_hoved.jpg"
"341","GRÜNDERZEITHAUS! Moderne Traumwohnung mit schöner Dachterrasse und Klimaanlage - vorbeischauen lohnt sich!",220000,144,"1140","Immovent GmbH","https://cache.willhaben.at/mmo/0/380/529/490_-1248464904_hoved.jpg"
"342","2 Zimmer Wohnung U4 Braunschweiggasse Provisionsfrei",355000,63,"1140","","https://cache.willhaben.at/mmo/6/371/912/796_-1404635542_hoved.jpg"
"343","TOP Sanierte Wohnung in 1140 Wien",299000.5,59,"1140","4M Immobilien&Consulting GmbH & Co KG","https://cache.willhaben.at/mmo/2/380/379/152_-1771243885_hoved.jpg"
"344","Provisionsfreie 3-Zimmer Neubauwohnungen zum Vermieten ab 240.000, -- Euro! U3!",324500.5,68,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/8/380/504/668_663611374_hoved.jpg"
"345","Provisionsfreie 3-Zimmer Neubauwohnungen mit Freiflächen ab 290.000, -- Euro! U3!",215000.5,62,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/0/380/504/680_1398403654_hoved.jpg"
"346","Provisionsfreie 2-Zimmer Neubauwohnungen mit Freiflächen ab 199.000, -- Euro! U3!",215000.5,40,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/8/380/504/688_72409843_hoved.jpg"
"347","Provisionsfreie 2-Zimmer Neubauwohnungen mit Freiflächen ab 199.000, -- Euro! U3!",180000.5,40,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/5/380/504/695_1398403654_hoved.jpg"
"348","Provisionsfreie 2-Zimmer Neubauwohnungen zum Vermieten ab 170.000, -- Euro! U3!",199000.4,40,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/7/380/504/697_663611374_hoved.jpg"
"349","Provisionsfreie 2-Zimmer Neubauwohnungen zum Vermieten ab 170.000, -- Euro! U3!",240000.5,45,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/0/380/504/700_72409843_hoved.jpg"
"350","Provisionsfreie 2-Zimmer Neubauwohnungen mit Freiflächen ab 199.000, -- Euro! U3!",259000,45,"1140","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/5/380/504/705_663611374_hoved.jpg"
"351","NEUER PREIS! 3D-RUNDGANG! PROVISIONSFREIE 3-ZIMMER WOHNUNG INKL. KÜCHE NÄHE BREITENSEE!",168000,72,"1140","BUWOG Group Einzelwohnungsverkauf","https://cache.willhaben.at/mmo/7/380/486/487_-1207901376_hoved.jpg"
"352","Nähe Hanusch-Spital - Kleines Apartment vom Feinsten!",899000.3,34,"1140","Wiener Privatbank Immobilienmakler GmbH","https://cache.willhaben.at/mmo/2/338/716/612_1660805871_hoved.jpg"
"353","Repräsentative Wohnung in der Beletage der ""Richard Wagner Villa""",265993,172,"1140","Real Immobilien.wien","https://cache.willhaben.at/mmo/4/380/377/164_1648096890_hoved.jpg"
"354","1140 Wien, Wohnung nahe Naherholungsgebiet Wienerwald",265993,62,"1140","s REAL - Wien","https://cache.willhaben.at/mmo/1/265/809/641_-1198198077_hoved.jpg"
"355","Frühlingsgefühle? Genießen Sie Ihren Kaffee auf der Sonnenterrasse",615000,62,"1140","s REAL - Wien","https://cache.willhaben.at/mmo/2/252/530/402_-1658065352_hoved.jpg"
"356","LUXURIÖSE DACHGESCHOSSWOHNUNG AUF ZWEI EBENEN | 4 ZIMMER | DACHTERRASSE | ERSTBEZUG",623000,120,"1140","Polke & Partner Immobilientreuhand","https://cache.willhaben.at/mmo/8/380/352/458_1075376977_hoved.jpg"
"357","individuell gestaltbare, familienfreundliche Doppelhäuser am Bierhäuselberg - 1140 Wien",349000,118,"1140","Mroom Immobilien GmbH","https://cache.willhaben.at/mmo/9/333/059/369_854455429_hoved.jpg"
"358","HOCHWERTIGER ERSTBEZUG: LICHTDURCHFLUTETE DACHGESCHOSSWOHNUNG MIT SONNENTERRASSE UND BALKON (TOP 24)",329000,65,"1140","IMMCON GmbH, Immobilien Consulting","https://cache.willhaben.at/mmo/1/380/314/631_1593895640_hoved.jpg"
"359","TRAUMWOHNUNG - BALKON - SÜD - GRÜNBLICK",359000,119,"3001","","https://cache.willhaben.at/mmo/1/378/624/081_-756556659_hoved.jpg"
"360","Traumhafte, ruhige Gartenwohnung inkl. Garagenplatz",265000,91,"3001","Haider Realitäten GmbH","https://cache.willhaben.at/mmo/7/378/579/707_2029385572_hoved.jpg"
"361","Ruhige, barrierefreie Eigentumswohnung",320000,73,"3001","Star Immobilientreuhand Ges.m.b.H.","https://cache.willhaben.at/mmo/3/366/132/423_870176155_hoved.jpg"
"362","""Dachgeschoßwohnung mit Blick in den Wald!""",459000,100,"3001","RE/MAX Donau-City-Immobilien","https://cache.willhaben.at/mmo/4/365/500/144_1429796225_hoved.jpg"
"363","Exklusive 4 Zimmer-Familienwohnung mit Garten - Nähe Wien!",248000,118,"3001","DOMO Gebäudeverwaltungs- und Realitätengesellschaft m.b.H.","https://cache.willhaben.at/mmo/3/356/007/893_177989480_hoved.jpg"
"364","Großzügige Familienwohnung in sonniger Grünlage",240000,104,"3001","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/2/256/128/912_1349518348_hoved.jpg"
"365","Generalsanierte Eigentumswohnung in Mauerbach",235000,71,"3001","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/3/362/739/813_1205729729_hoved.jpg"
"366","- UNI-Real - Glücklich wohnen vor den Toren Wiens",235000,80,"3001","UNI - Real Estate GmbH","https://cache.willhaben.at/mmo/2/352/626/102_-1972246553_hoved.jpg"
"367","Im Zentrum, trotzdem fast im Wienerwald- PROVISIONSFREI!",399000.22,43,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/6/380/583/206_-415768281_hoved.jpg"
"368","PROVISIONSFREI - STILVOLLER NEUBAU MIT PERFEKTEM SCHNITT - JEDE WOHNUNG MIT TOLLEN FREIFLÄCHEN",315000,92,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/9/380/583/209_-415768281_hoved.jpg"
"369","RUHIGER NEUBAU-ERSTBEZUG IN ZENTRUMSLAGE",440000,74,"3002","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/1/302/290/341_-1523057073_hoved.jpg"
"370","Eigenheim am Sagberg mit Weitblick - Verbundenheit mit der Natur",513000,97,"3002","Boubeva Makler GmbH","https://cache.willhaben.at/mmo/0/269/933/880_1845361544_hoved.jpg"
"371","Eigenheim am Sagberg mit Weitblick - Verbundenheit mit der Natur",259000,114,"3002","Boubeva Makler GmbH","https://cache.willhaben.at/mmo/7/241/796/777_1265366976_hoved.jpg"
"372","Wohnung mit Carport / Stadtgrenze Wien-Purkersdorf",239948,76,"3002","TKR Immobilienservice GmbH","https://cache.willhaben.at/mmo/7/380/132/037_-1517421112_hoved.jpg"
"373","2-Zimmer Wohntraum mit südseitigem Balkon",402738,63,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/7/307/352/787_724237018_hoved.jpg"
"374","Süd/ West/ Nord-Ausrichtung - Top Gartenwohnung in Purkersdorf",529640,106,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/1/307/352/791_724237018_hoved.jpg"
"375","Großzügige 5-Zimmer Dachgeschoßwohnung mit Blick in den Wienerwald",225100,130,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/5/307/352/795_1533012367_hoved.jpg"
"376","Charmante 2-Zimmer Wohnung mit südseitigem Balkon",588000,60,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/0/307/352/800_1533012367_hoved.jpg"
"377","DACHGESCHOSS-MAISONETTEWOHNUNG - ERSTBEZUG NACH RENOVIERUNG",409000,143,"1140","Immobilien Mörtl G.m.b.H.","https://cache.willhaben.at/mmo/6/241/792/356_976615263_hoved.jpg"
"378","4-ZIMMER- ERSTBEZUG IN WIENERWALDVILLA IN SCHÖNER LAGE",425000,96,"3002","Immobilien Mörtl G.m.b.H.","https://cache.willhaben.at/mmo/6/241/775/396_1583937314_hoved.jpg"
"379","GARTENWOHNUNG - ERSTBEZUG NACH RENOVIERUNG",369646,100,"1140","Immobilien Mörtl G.m.b.H.","https://cache.willhaben.at/mmo/4/241/767/184_1583937314_hoved.jpg"
"380","4 JAHRESZEITEN - traumhafte 4-Zimmer-Balkonwohnung - ERSTBEZUG",459852,91,"3002","RE Real Esthetiques GmbH","https://cache.willhaben.at/mmo/0/367/354/920_488697744_hoved.jpg"
"381","Traumhafte Dachgeschoßwohnung mit Blick auf den Wienerwald",399964,99,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/0/307/063/260_724237018_hoved.jpg"
"382","Freiflächen in 3 Himmelsrichtungen - Top Gartenwohnung in Purkersdorf",240000,105,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/3/307/063/253_1533012367_hoved.jpg"
"383","BLICK ÜBER PURKERSDORF: Sanierungswürdige 3-Zimmerwohnung",249000.5,70,"3002","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/6/343/933/266_-318507875_hoved.jpg"
"384","NEUBAU MIT QUALITÄT IM STADTZENTRUM UND BEIM HAUPTPLATZ VON PURKERSDORF! - ! PROVISIONSFREI!",259805,45,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/7/379/610/297_-847977492_hoved.jpg"
"385","Idealer Grundriss: 2-Zimmer mit großer südseitiger Terrasse & Gärtchen",429940,71,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/5/306/882/625_1533012367_hoved.jpg"
"386","Großzügige Gartenwohnung mit südseitiger Terrasse",319000,113,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/1/306/882/621_724237018_hoved.jpg"
"387","Fast schon Wien aber doch noch grün",449000,74,"3002","s REAL - Niederösterreich","https://cache.willhaben.at/mmo/5/326/541/655_1038935189_hoved.jpg"
"388","Sie wollen heuer im Sommer Ihre eigene DG-Maisonette mit Südterrasse genießen?",295000,114,"3002","CL-Immogroup","https://cache.willhaben.at/mmo/0/348/923/180_-1836388534_hoved.jpg"
"389","Gut aufgeteilte 4-Zimmerwohnung an Wiener Stadtgrenze",310000,92,"3002","Rudi Dräxler Immobilientreuhand GesmbH","https://cache.willhaben.at/mmo/6/378/646/486_-1940915814_hoved.jpg"
"390","Eigentumswohnung Purkersdorf",232000,75,"3002","","https://cache.willhaben.at/mmo/5/378/430/175_283768859_hoved.jpg"
"391","ZENTRUM VON PURKERSDORF - GROSSZÜGIGES FAMILIEN-LOGGIAEIGENTUM MIT AUTOSTELLPLATZ",272000,98,"3002","s REAL - Niederösterreich","https://cache.willhaben.at/mmo/1/325/397/001_715583599_hoved.jpg"
"392","Wohnungseigentum auf Gartenniveau",382190,113,"3002","RE/MAX Vision Fa. Makellos e.U.","https://cache.willhaben.at/mmo/3/330/506/363_-1318261875_hoved.jpg"
"393","Großzügige 4-Zimmer Gartenwohnung in Purkersdorf",330000.1,100,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/5/310/321/505_724237018_hoved.jpg"
"394","!! GROßZÜGIGE TERRASSE - ! PROVISIONSFREI! - STILVOLLER NEUBAU MIT PERFEKTEM SCHNITT!!",533840,76,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/6/377/245/196_1603726364_hoved.jpg"
"395","ANLEGERHIT 3% Rendite langfristig vermietete GARTENWOHNUNG",249000,98,"3002","RE Real Esthetiques GmbH","https://cache.willhaben.at/mmo/7/370/115/437_-1549539157_hoved.jpg"
"396","TRAUMHAFTE DACHTERRASSE - NEUBAU MIT QUALITÄT IN PURKERSDORF! - PROVISIONSFREI",259000,49,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/7/379/957/527_-1761017974_hoved.jpg"
"397","360° Video! HELLE OSTSEITIGE 3 ZIMMER EIGENTUMSWOHNUNG IN PURKERSDORF",235000,76,"3002","Immobilien Mörtl G.m.b.H.","https://cache.willhaben.at/mmo/9/369/950/089_-1313803303_hoved.jpg"
"398","DACHTERRASSENTRAUM! - ! PROVISIONSFREI! - STILVOLLER NEUBAU MIT PERFEKTEM SCHNITT",435000.1,43,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/8/380/259/658_1703020289_hoved.jpg"
"399","! PROVISIONSFREI! - STILVOLLER NEUBAU MIT PERFEKTEM SCHNITT - JEDE WOHNUNG MIT TOLLEN FREIFLÄCHEN",169000,107,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/6/376/818/026_-971245215_hoved.jpg"
"400","SONNIGES 4 ZIMMER DACHGESCHOSSEIGENTUM IN PURKERSDORF",399000.1,81,"3002","s REAL - Niederösterreich","https://cache.willhaben.at/mmo/4/369/483/214_146266578_hoved.jpg"
"401","! PROVISIONSFREI! - STILVOLLER NEUBAU MIT PERFEKTEM SCHNITT - JEDE WOHNUNG MIT TOLLEN FREIFLÄCHEN",199980,92,"3002","teamneunzehn.at Immobilienmanagement GmbH & Co KG","https://cache.willhaben.at/mmo/0/376/128/820_-971245215_hoved.jpg"
"402","Klein aber sehr fein: charmante 2-Zimmer mit südseitigem Balkon",519840,48,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/1/307/997/911_724237018_hoved.jpg"
"403","Exklusive Dachgeschoßwohnung mit Süd-Balkon und Dachterrasse",379237,128,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/5/307/997/915_724237018_hoved.jpg"
"404","Charmante Dachgeschoßwohnung mit Balkon und Dachterrasse",435000.1,84,"3011","Das Neue Wohnen GmbH","https://cache.willhaben.at/mmo/0/307/997/910_1533012367_hoved.jpg"
